option_a,option_b,target,key
186b,355a,552a,186b_355a_552a
202b,307a,144b,202b_307a_144b
167a,555a,70b,167a_555a_70b
201a,73b,167b,201a_73b_167b
186a,202b,144a,186a_202b_144a
186b,484a,202b,186b_484a_202b
167a,626a,307a,167a_626a_307a
144b,555a,70b,144b_555a_70b
202b,631a,226a,202b_631a_226a
307b,420b,73a,307b_420b_73a
353a,484a,70a,353a_484a_70a
226b,431a,418a,226b_431a_418a
370a,631a,202b,370a_631a_202b
241a,431a,355a,241a_431a_355a
144a,555a,70a,144a_555a_70a
360a,420b,186b,360a_420b_186b
167a,226a,73b,167a_226a_73b
241b,307b,420a,241b_307b_420a
307b,360a,144a,307b_360a_144a
631a,73a,167a,631a_73a_167a
431a,84a,73b,431a_84a_73b
241a,73a,93a,241a_73a_93a
167a,241b,226b,167a_241b_226b
167a,93b,151a,167a_93b_151a
626a,70b,226a,626a_70b_226a
226b,241a,167a,226b_241a_167a
151a,167a,431a,151a_167a_431a
355a,420a,353a,355a_420a_353a
201a,626a,353a,201a_626a_353a
186b,360a,93a,186b_360a_93a
307a,307b,167a,307a_307b_167a
353a,420a,226a,353a_420a_226a
186a,201a,353a,186a_201a_353a
202b,226b,226a,202b_226b_226a
626a,93a,144a,626a_93a_144a
151b,73b,144a,151b_73b_144a
226a,241b,73b,226a_241b_73b
151a,226b,431a,151a_226b_431a
552a,84a,202b,552a_84a_202b
151a,186b,144b,151a_186b_144b
631a,73a,70b,631a_73a_70b
70b,93b,70a,70b_93b_70a
307b,70a,167a,307b_70a_167a
202a,353a,151a,202a_353a_151a
353a,70a,631a,353a_70a_631a
151b,420b,93b,151b_420b_93b
226b,73b,70a,226b_73b_70a
555a,626a,73b,555a_626a_73b
360a,420b,307a,360a_420b_307a
144a,186a,241b,144a_186a_241b
144a,202b,73b,144a_202b_73b
167a,631a,93b,167a_631a_93b
151b,93a,307b,151b_93a_307b
420a,70b,186a,420a_70b_186a
151b,186b,93a,151b_186b_93a
151b,93b,151a,151b_93b_151a
420a,84a,201a,420a_84a_201a
631a,73a,93a,631a_73a_93a
70b,73a,631a,70b_73a_631a
167b,226b,431a,167b_226b_431a
186a,420b,70a,186a_420b_70a
186a,420b,370a,186a_420b_370a
355a,418a,73b,355a_418a_73b
144a,186b,202a,144a_186b_202a
226b,626a,420a,226b_626a_420a
144a,484a,420a,144a_484a_420a
186a,73a,202a,186a_73a_202a
186b,73b,360a,186b_73b_360a
151a,70b,144a,151a_70b_144a
370a,431a,307a,370a_431a_307a
241b,360a,73a,241b_360a_73a
167b,626a,555a,167b_626a_555a
144b,93b,418a,144b_93b_418a
186b,484a,370a,186b_484a_370a
360a,631a,307a,360a_631a_307a
355a,93a,144a,355a_93a_144a
418a,631a,73a,418a_631a_73a
202a,631a,307a,202a_631a_307a
226a,84a,360a,226a_84a_360a
241b,626a,93a,241b_626a_93a
226b,93a,73b,226b_93a_73b
552a,84a,307a,552a_84a_307a
84a,93a,484a,84a_93a_484a
151b,418a,555a,151b_418a_555a
151a,73a,370a,151a_73a_370a
431a,73b,555a,431a_73b_555a
360a,70b,144a,360a_70b_144a
360a,555a,201a,360a_555a_201a
241b,418a,431a,241b_418a_431a
201a,73b,70b,201a_73b_70b
144b,418a,167a,144b_418a_167a
167a,370a,626a,167a_370a_626a
202a,552a,370a,202a_552a_370a
186b,307a,202b,186b_307a_202b
355a,555a,84a,355a_555a_84a
167b,202b,226a,167b_202b_226a
70a,93b,93a,70a_93b_93a
555a,631a,420b,555a_631a_420b
226a,484a,144b,226a_484a_144b
70a,84a,241a,70a_84a_241a
202a,431a,186a,202a_431a_186a
151a,552a,201a,151a_552a_201a
307b,360a,420b,307b_360a_420b
631a,73b,360a,631a_73b_360a
167a,93b,144a,167a_93b_144a
202b,370a,626a,202b_370a_626a
151a,93a,167b,151a_93a_167b
202a,307a,370a,202a_307a_370a
202a,552a,201a,202a_552a_201a
355a,70a,151a,355a_70a_151a
144a,73b,70b,144a_73b_70b
202a,418a,307a,202a_418a_307a
144a,241a,70b,144a_241a_70b
226b,241a,484a,226b_241a_484a
418a,420b,552a,418a_420b_552a
167a,355a,167b,167a_355a_167b
73a,93b,226a,73a_93b_226a
167b,202a,355a,167b_202a_355a
226b,360a,84a,226b_360a_84a
241a,93a,73a,241a_93a_73a
167a,552a,186b,167a_552a_186b
202a,355a,370a,202a_355a_370a
144a,144b,631a,144a_144b_631a
552a,84a,151b,552a_84a_151b
626a,93a,484a,626a_93a_484a
167b,73a,484a,167b_73a_484a
226b,626a,70a,226b_626a_70a
420b,626a,186a,420b_626a_186a
144a,186a,431a,144a_186a_431a
186b,241b,241a,186b_241b_241a
552a,626a,186b,552a_626a_186b
201a,307b,241a,201a_307b_241a
307a,73b,418a,307a_73b_418a
144a,167b,241a,144a_167b_241a
144a,167b,226b,144a_167b_226b
552a,70b,73a,552a_70b_73a
307b,73a,151a,307b_73a_151a
144a,167a,420b,144a_167a_420b
353a,70a,73b,353a_70a_73b
353a,355a,418a,353a_355a_418a
355a,418a,353a,355a_418a_353a
144b,226a,186a,144b_226a_186a
202b,241b,73b,202b_241b_73b
360a,555a,355a,360a_555a_355a
167a,420b,202a,167a_420b_202a
144b,70a,70b,144b_70a_70b
420b,626a,241a,420b_626a_241a
226b,70b,84a,226b_70b_84a
241b,70b,420b,241b_70b_420b
555a,84a,70b,555a_84a_70b
241b,307b,186b,241b_307b_186b
370a,73b,484a,370a_73b_484a
144b,355a,167a,144b_355a_167a
167a,307b,73b,167a_307b_73b
201a,360a,167a,201a_360a_167a
167b,418a,484a,167b_418a_484a
353a,370a,167b,353a_370a_167b
201a,70a,93a,201a_70a_93a
151a,555a,241b,151a_555a_241b
307a,93a,70b,307a_93a_70b
151a,226b,73a,151a_226b_73a
202a,70a,241b,202a_70a_241b
186b,552a,93b,186b_552a_93b
226b,353a,70a,226b_353a_70a
144a,151a,552a,144a_151a_552a
186b,202a,626a,186b_202a_626a
186a,307a,151b,186a_307a_151b
370a,420a,241a,370a_420a_241a
431a,84a,360a,431a_84a_360a
202b,631a,202a,202b_631a_202a
201a,202b,93b,201a_202b_93b
151b,370a,241a,151b_370a_241a
226b,93b,151b,226b_93b_151b
202b,70a,226b,202b_70a_226b
144a,307b,93b,144a_307b_93b
202b,626a,631a,202b_626a_631a
186b,355a,186a,186b_355a_186a
144a,355a,202a,144a_355a_202a
151b,420b,626a,151b_420b_626a
431a,73a,353a,431a_73a_353a
167b,84a,484a,167b_84a_484a
186a,631a,307a,186a_631a_307a
151b,186a,420a,151b_186a_420a
370a,420b,420a,370a_420b_420a
307b,420a,151a,307b_420a_151a
420a,555a,420b,420a_555a_420b
201a,307b,420b,201a_307b_420b
226b,353a,151a,226b_353a_151a
167b,552a,484a,167b_552a_484a
186a,202b,202a,186a_202b_202a
167a,167b,353a,167a_167b_353a
186a,93b,202b,186a_93b_202b
353a,73a,241b,353a_73a_241b
202b,73a,626a,202b_73a_626a
484a,555a,418a,484a_555a_418a
431a,84a,420b,431a_84a_420b
355a,484a,144b,355a_484a_144b
144b,202b,167b,144b_202b_167b
186a,93b,241b,186a_93b_241b
144a,626a,186a,144a_626a_186a
555a,70a,93b,555a_70a_93b
202b,241a,84a,202b_241a_84a
241a,73a,631a,241a_73a_631a
202b,418a,431a,202b_418a_431a
201a,84a,484a,201a_84a_484a
202b,73b,241a,202b_73b_241a
151a,555a,144a,151a_555a_144a
151a,70a,70b,151a_70a_70b
241b,418a,73b,241b_418a_73b
151a,226b,144b,151a_226b_144b
202a,353a,307b,202a_353a_307b
202b,353a,552a,202b_353a_552a
226b,93a,202a,226b_93a_202a
151b,73a,144a,151b_73a_144a
241a,626a,484a,241a_626a_484a
241a,631a,226b,241a_631a_226b
167a,626a,202a,167a_626a_202a
307b,420b,144b,307b_420b_144b
353a,552a,307b,353a_552a_307b
420b,626a,226b,420b_626a_226b
144a,552a,626a,144a_552a_626a
186a,420b,626a,186a_420b_626a
144a,226a,353a,144a_226a_353a
307b,626a,307a,307b_626a_307a
420a,626a,353a,420a_626a_353a
226b,484a,186b,226b_484a_186b
144b,202a,420b,144b_202a_420b
202b,484a,241a,202b_484a_241a
418a,420b,167b,418a_420b_167b
144a,418a,186b,144a_418a_186b
73a,84a,186b,73a_84a_186b
370a,626a,353a,370a_626a_353a
186b,631a,626a,186b_631a_626a
431a,631a,167b,431a_631a_167b
202a,420a,144a,202a_420a_144a
353a,73a,202b,353a_73a_202b
226b,84a,144a,226b_84a_144a
167b,70a,144a,167b_70a_144a
226b,431a,73a,226b_431a_73a
186a,418a,151b,186a_418a_151b
355a,626a,186b,355a_626a_186b
226a,84a,201a,226a_84a_201a
241b,631a,226b,241b_631a_226b
144b,151b,370a,144b_151b_370a
307a,626a,73b,307a_626a_73b
186a,202b,70b,186a_202b_70b
360a,418a,552a,360a_418a_552a
202b,420a,418a,202b_420a_418a
555a,626a,93a,555a_626a_93a
226a,93a,144b,226a_93a_144b
418a,552a,353a,418a_552a_353a
355a,420b,360a,355a_420b_360a
241a,307a,84a,241a_307a_84a
202a,241b,144a,202a_241b_144a
144a,431a,355a,144a_431a_355a
355a,420a,186a,355a_420a_186a
241b,484a,420a,241b_484a_420a
151a,626a,241a,151a_626a_241a
186a,360a,151a,186a_360a_151a
144a,144b,370a,144a_144b_370a
186a,418a,84a,186a_418a_84a
241b,73a,307b,241b_73a_307b
420b,93b,151a,420b_93b_151a
144a,186a,353a,144a_186a_353a
307b,552a,420a,307b_552a_420a
151b,167a,73a,151b_167a_73a
186a,552a,151b,186a_552a_151b
226b,353a,631a,226b_353a_631a
555a,84a,73b,555a_84a_73b
241a,420a,360a,241a_420a_360a
307b,370a,360a,307b_370a_360a
241b,353a,555a,241b_353a_555a
241b,355a,144b,241b_355a_144b
186b,226b,144b,186b_226b_144b
151b,307a,420b,151b_307a_420b
226b,360a,70a,226b_360a_70a
307b,73b,631a,307b_73b_631a
370a,93a,631a,370a_93a_631a
484a,626a,420a,484a_626a_420a
370a,70b,167a,370a_70b_167a
70b,93b,144a,70b_93b_144a
226b,93b,202a,226b_93b_202a
202b,93b,307a,202b_93b_307a
201a,70b,167a,201a_70b_167a
167a,186b,355a,167a_186b_355a
151a,370a,226b,151a_370a_226b
144a,202b,241a,144a_202b_241a
151a,360a,70a,151a_360a_70a
202b,418a,370a,202b_418a_370a
226b,555a,420a,226b_555a_420a
370a,70b,186b,370a_70b_186b
307a,73a,420b,307a_73a_420b
307a,353a,420a,307a_353a_420a
307a,555a,626a,307a_555a_626a
241b,431a,93b,241b_431a_93b
144a,631a,370a,144a_631a_370a
555a,73b,201a,555a_73b_201a
186b,431a,631a,186b_431a_631a
144a,226a,70b,144a_226a_70b
360a,93b,151b,360a_93b_151b
202a,555a,73b,202a_555a_73b
186a,631a,93b,186a_631a_93b
202a,93a,353a,202a_93a_353a
73b,84a,307b,73b_84a_307b
186b,84a,484a,186b_84a_484a
353a,370a,418a,353a_370a_418a
631a,73a,431a,631a_73a_431a
355a,93b,631a,355a_93b_631a
167b,484a,418a,167b_484a_418a
431a,93b,70b,431a_93b_70b
186a,93a,241b,186a_93a_241b
631a,70a,144a,631a_70a_144a
167b,226b,307b,167b_226b_307b
420a,70a,241b,420a_70a_241b
307a,420b,70a,307a_420b_70a
226b,241b,84a,226b_241b_84a
226a,431a,93b,226a_431a_93b
167a,420a,370a,167a_420a_370a
201a,226a,370a,201a_226a_370a
70a,73a,552a,70a_73a_552a
355a,552a,201a,355a_552a_201a
307b,420a,151b,307b_420a_151b
241b,631a,167b,241b_631a_167b
151b,73b,555a,151b_73b_555a
144b,201a,202b,144b_201a_202b
167a,484a,73b,167a_484a_73b
202b,420b,73b,202b_420b_73b
167b,202b,360a,167b_202b_360a
552a,626a,431a,552a_626a_431a
202a,73a,93a,202a_73a_93a
307a,555a,73b,307a_555a_73b
241b,420b,431a,241b_420b_431a
626a,70b,307a,626a_70b_307a
202b,626a,144a,202b_626a_144a
431a,555a,70b,431a_555a_70b
201a,84a,307b,201a_84a_307b
151b,202b,626a,151b_202b_626a
167a,353a,151a,167a_353a_151a
307a,484a,420a,307a_484a_420a
202a,484a,418a,202a_484a_418a
226b,484a,418a,226b_484a_418a
201a,307b,151a,201a_307b_151a
144b,84a,420b,144b_84a_420b
167b,70a,167a,167b_70a_167a
151b,84a,555a,151b_84a_555a
167a,186a,73a,167a_186a_73a
202a,202b,93a,202a_202b_93a
201a,307a,626a,201a_307a_626a
552a,70a,484a,552a_70a_484a
202b,484a,420b,202b_484a_420b
226b,70a,186b,226b_70a_186b
418a,73b,202a,418a_73b_202a
420b,84a,418a,420b_84a_418a
552a,93a,226b,552a_93a_226b
167a,73b,241a,167a_73b_241a
144b,151a,370a,144b_151a_370a
151b,555a,151a,151b_555a_151a
186b,73a,144a,186b_73a_144a
355a,73b,167a,355a_73b_167a
420b,70b,355a,420b_70b_355a
144a,144b,353a,144a_144b_353a
360a,93a,186b,360a_93a_186b
202a,226b,186a,202a_226b_186a
360a,73b,420b,360a_73b_420b
226b,73b,201a,226b_73b_201a
226a,626a,84a,226a_626a_84a
226a,307b,201a,226a_307b_201a
186b,70b,484a,186b_70b_484a
151b,70b,93b,151b_70b_93b
70a,93b,186b,70a_93b_186b
151a,484a,167b,151a_484a_167b
202b,307a,626a,202b_307a_626a
201a,484a,70a,201a_484a_70a
73a,84a,201a,73a_84a_201a
241b,73b,186b,241b_73b_186b
186a,73b,420b,186a_73b_420b
307b,370a,186a,307b_370a_186a
144a,307a,201a,144a_307a_201a
202a,202b,307b,202a_202b_307b
241a,93b,70a,241a_93b_70a
355a,93b,202b,355a_93b_202b
626a,73a,226a,626a_73a_226a
186a,353a,84a,186a_353a_84a
353a,420b,431a,353a_420b_431a
360a,420b,552a,360a_420b_552a
360a,70a,167b,360a_70a_167b
151a,167b,186b,151a_167b_186b
144a,555a,167b,144a_555a_167b
353a,70a,307a,353a_70a_307a
144b,167a,73a,144b_167a_73a
353a,420b,144b,353a_420b_144b
420a,93b,626a,420a_93b_626a
241a,307b,353a,241a_307b_353a
186b,93a,167b,186b_93a_167b
420a,73a,226a,420a_73a_226a
226b,73b,151a,226b_73b_151a
431a,631a,241b,431a_631a_241b
144a,226b,241b,144a_226b_241b
151b,626a,241a,151b_626a_241a
241a,484a,355a,241a_484a_355a
226a,418a,73a,226a_418a_73a
186a,84a,93b,186a_84a_93b
201a,418a,186a,201a_418a_186a
241b,631a,431a,241b_631a_431a
167b,226a,355a,167b_226a_355a
167a,93b,626a,167a_93b_626a
353a,355a,202a,353a_355a_202a
226a,626a,186b,226a_626a_186b
186b,370a,420b,186b_370a_420b
431a,73a,420a,431a_73a_420a
186b,202b,355a,186b_202b_355a
167a,186b,241b,167a_186b_241b
144b,93b,226a,144b_93b_226a
370a,70b,420a,370a_70b_420a
307b,484a,70b,307b_484a_70b
201a,555a,151a,201a_555a_151a
307a,353a,202b,307a_353a_202b
151a,555a,70b,151a_555a_70b
201a,552a,226b,201a_552a_226b
226a,307b,73a,226a_307b_73a
151a,202a,241a,151a_202a_241a
201a,631a,307b,201a_631a_307b
186b,355a,70b,186b_355a_70b
555a,73a,144a,555a_73a_144a
370a,631a,555a,370a_631a_555a
307a,73b,144a,307a_73b_144a
167b,420a,70a,167b_420a_70a
226a,241b,241a,226a_241b_241a
353a,73b,552a,353a_73b_552a
370a,420b,431a,370a_420b_431a
201a,370a,626a,201a_370a_626a
144a,73b,201a,144a_73b_201a
167a,307b,186a,167a_307b_186a
151a,226b,420a,151a_226b_420a
355a,484a,420b,355a_484a_420b
144b,355a,353a,144b_355a_353a
186a,201a,151b,186a_201a_151b
201a,431a,226b,201a_431a_226b
144a,201a,151b,144a_201a_151b
307b,370a,151a,307b_370a_151a
144b,93a,626a,144b_93a_626a
144a,241b,167a,144a_241b_167a
355a,84a,144b,355a_84a_144b
307a,355a,70a,307a_355a_70a
241a,353a,555a,241a_353a_555a
167a,241b,360a,167a_241b_360a
626a,93a,84a,626a_93a_84a
144a,202b,431a,144a_202b_431a
226b,360a,201a,226b_360a_201a
241b,353a,186b,241b_353a_186b
144a,418a,360a,144a_418a_360a
241b,73b,360a,241b_73b_360a
151a,307b,370a,151a_307b_370a
552a,555a,202a,552a_555a_202a
202a,70b,484a,202a_70b_484a
241b,355a,353a,241b_355a_353a
70a,93b,626a,70a_93b_626a
418a,70a,202b,418a_70a_202b
201a,73b,418a,201a_73b_418a
186b,631a,355a,186b_631a_355a
151a,93b,307b,151a_93b_307b
241a,307b,186a,241a_307b_186a
186b,370a,555a,186b_370a_555a
360a,370a,484a,360a_370a_484a
431a,70a,167a,431a_70a_167a
144b,151a,226b,144b_151a_226b
241a,70a,360a,241a_70a_360a
167a,360a,370a,167a_360a_370a
431a,93a,201a,431a_93a_201a
151b,631a,151a,151b_631a_151a
167b,552a,144a,167b_552a_144a
144a,226a,70a,144a_226a_70a
420a,84a,70b,420a_84a_70b
226b,431a,360a,226b_431a_360a
186a,70a,73b,186a_70a_73b
420b,70a,186b,420b_70a_186b
70a,73a,93a,70a_73a_93a
360a,631a,355a,360a_631a_355a
73b,93b,167a,73b_93b_167a
167a,360a,201a,167a_360a_201a
151a,307a,484a,151a_307a_484a
202b,626a,307a,202b_626a_307a
555a,70b,626a,555a_70b_626a
241b,555a,484a,241b_555a_484a
307a,73b,186b,307a_73b_186b
355a,431a,93a,355a_431a_93a
202a,360a,431a,202a_360a_431a
418a,73a,93a,418a_73a_93a
151a,552a,226b,151a_552a_226b
151a,186a,484a,151a_186a_484a
355a,360a,631a,355a_360a_631a
370a,552a,144b,370a_552a_144b
167b,93b,241a,167b_93b_241a
